REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,DISTRITO,LOC_ZON,ENT_MAN,CATEGORIA,NOM_CATEGO,MANZENT_I,TOTAL_PERS,TOTAL_VIVI,SHAPE_Leng,SHAPE_Area,xcoord,ycoord
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","39","2",PB,"8204011001039","48","10",0.00201154322,0.00000026647,-73.23420,-38.02645
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","42","2",PB,"8204011001042","38","12",0.00211469730,0.00000028048,-73.23289,-38.02653
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","41","2",PB,"8204011001041","29","9",0.00190570738,0.00000023829,-73.23345,-38.02674
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","40","2",PB,"8204011001040","31","12",0.00191962287,0.00000024101,-73.23394,-38.02693
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","43","2",PB,"8204011001043","59","21",0.00491800198,0.00000154871,-73.23252,-38.02730
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","32","2",PB,"8204011001032","142","51",0.01945771590,0.00000737406,-73.23178,-38.02224
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","31","2",PB,"8204011001031","263","88",0.02474623394,0.00001018571,-73.22792,-38.01871
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","47","2",PB,"8204011001047","22","15",0.02120910157,0.00001181714,-73.23481,-38.01417
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","8","2",PB,"8204011001008","50","20",0.00498737472,0.00000084216,-73.23320,-38.01392
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8204",CONTULMO,"1","1","901","2",PB,"8204011001901","17","12",0.01146396861,0.00000284108,-73.22832,-38.01600
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","8","2",PB,"8207031001008","41","16",0.00305154966,0.00000046155,-73.49069,-38.33790
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","9","2",PB,"8207031001009","36","14",0.00280746450,0.00000037842,-73.49006,-38.33785
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","3","2",PB,"8207031001003","35","11",0.00382016027,0.00000088819,-73.49264,-38.33824
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","7","2",PB,"8207031001007","44","15",0.00283384670,0.00000048507,-73.49119,-38.33824
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","11","2",PB,"8207031001011","49","18",0.00323220854,0.00000061513,-73.48914,-38.33849
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","6","2",PB,"8207031001006","32","10",0.00259997493,0.00000042201,-73.49179,-38.33855
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","10","2",PB,"8207031001010","18","10",0.00213898975,0.00000029360,-73.48837,-38.33847
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","12","2",PB,"8207031001012","55","18",0.00316984209,0.00000059895,-73.48975,-38.33872
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","13","2",PB,"8207031001013","51","22",0.00316984561,0.00000059895,-73.49036,-38.33895
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","5","2",PB,"8207031001005","28","10",0.00253125208,0.00000038550,-73.49244,-38.33889
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","4","2",PB,"8207031001004","12","6",0.00384622643,0.00000072118,-73.49337,-38.33919
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","14","2",PB,"8207031001014","70","25",0.00390065579,0.00000074236,-73.49153,-38.33912
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","33","2",PB,"8207031001033","10","6",0.00172078146,0.00000016733,-73.48812,-38.33883
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","35","2",PB,"8207031001035","19","10",0.00212372037,0.00000029514,-73.48724,-38.33896
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","32","2",PB,"8207031001032","10","5",0.00178191490,0.00000018083,-73.48874,-38.33908
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","34","2",PB,"8207031001034","12","8",0.00214235813,0.00000029623,-73.48785,-38.33920
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","37","2",PB,"8207031001037","30","12",0.00211328698,0.00000028035,-73.48631,-38.33922
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","15","2",PB,"8207031001015","71","24",0.00388900781,0.00000072893,-73.49123,-38.33960
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","29","2",PB,"8207031001029","27","14",0.00299718825,0.00000035605,-73.48967,-38.33945
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","38","2",PB,"8207031001038","40","21",0.00325530760,0.00000061910,-73.48672,-38.33965
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","31","2",PB,"8207031001031","30","10",0.00216122409,0.00000030269,-73.48847,-38.33945
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","17","2",PB,"8207031001017","29","11",0.00222288240,0.00000031825,-73.49258,-38.33954
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","30","2",PB,"8207031001030","40","20",0.00352874709,0.00000065793,-73.48940,-38.33982
"8",REGIÓN DEL BIOBÍO,"82",ARAUCO,"8207",TIRÚA,"3","1","39","2",PB,"8207031001039","40","20",0.00335769625,0.00000064934,-73.48731,-38.33990
