,Unnamed: 0,index,REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,MZ_ENT,ID_ZONA_LOC,ID_MANZENT,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,PUEBLO,VIV_PART,VIV_COL,VPOMP,TOTAL_VIV,CANT_HOG,P01_1,P01_2,P01_3,P01_4,P01_5,P01_6,P01_7,P03A_1,P03A_2,P03A_3,P03A_4,P03A_5,P03A_6,P03B_1,P03B_2,P03B_3,P03B_4,P03B_5,P03B_6,P03B_7,P03C_1,P03C_2,P03C_3,P03C_4,P03C_5,MATACEP,MATREC,MATIRREC,P05_1,P05_2,P05_3,P05_4,REGION_15R,PROVINCIA_15R,COMUNA_15R,ID_MANZENT_15R,Coordenada X,Coordenada Y,Provincia Nombre,Comuna Nombre,Area
5756,5756,5757,8,81,8104,1,1,1,32,2250,8104011001032,52,26,26,0,0,28,17,0,0,19,0,18,19,18,19,0,0,0,0,0,0,0,4,10,4,0,0,0,0,17,1,0,0,0,18,0,0,0,0,14,4,0,18,0,0,0,8,81,8104,8104011001032,-72.66452,-36.82769,CONCEPCIÓN,FLORIDA,14605
5757,5757,5758,8,81,8104,1,1,1,33,2250,8104011001033,45,15,30,0,7,30,0,0,0,23,0,15,23,15,23,0,0,0,0,0,0,1,2,4,8,0,0,1,0,14,0,0,0,0,10,0,5,0,0,3,12,0,15,0,0,0,8,81,8104,8104011001033,-72.66311,-36.82775,CONCEPCIÓN,FLORIDA,14544
5758,5758,5759,8,81,8104,1,1,1,47,2250,8104011001047,51,24,27,5,7,32,7,0,0,18,0,17,18,17,18,0,0,0,0,0,0,0,1,16,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,17,0,0,17,0,0,0,8,81,8104,8104011001047,-72.67820999999998,-36.82796,CONCEPCIÓN,FLORIDA,4843
5759,5759,5760,8,81,8104,1,1,1,46,2250,8104011001046,55,28,27,0,10,36,0,0,0,16,0,16,16,17,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,16,0,0,16,0,0,0,8,81,8104,8104011001046,-72.67948,-36.82798,CONCEPCIÓN,FLORIDA,4853
5760,5760,5761,8,81,8104,1,1,1,48,2250,8104011001048,26,14,12,0,0,20,0,0,0,12,0,11,12,11,12,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,11,0,0,11,0,0,8,81,8104,8104011001048,-72.67819,-36.82843,CONCEPCIÓN,FLORIDA,4833
5761,5761,5762,8,81,8104,1,1,1,49,2250,8104011001049,50,28,22,7,5,34,4,0,0,18,0,17,18,18,18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,17,0,0,17,0,0,0,8,81,8104,8104011001049,-72.67945,-36.82846,CONCEPCIÓN,FLORIDA,4841
5762,5762,5763,8,81,8104,1,1,1,34,2250,8104011001034,45,19,26,0,0,31,8,0,0,20,0,19,20,19,20,0,0,0,0,0,0,0,2,17,0,0,0,0,0,19,0,0,0,0,18,0,1,0,0,18,1,0,19,0,0,0,8,81,8104,8104011001034,-72.66319,-36.8289,CONCEPCIÓN,FLORIDA,14862
5763,5763,5764,8,81,8104,2,1,1,509,115,8104021001509,67,33,34,7,13,40,7,0,5,20,0,19,20,19,18,0,0,0,2,0,0,0,1,16,2,0,0,0,0,18,0,0,1,0,19,0,0,0,0,16,2,1,19,0,0,0,8,81,8104,8104021001509,-72.65053,-36.82393,CONCEPCIÓN,FLORIDA,94863
5764,5764,5765,8,81,8104,2,1,1,508,115,8104021001508,22,11,11,0,0,19,0,0,0,10,0,9,10,9,9,0,0,0,0,0,1,0,1,6,2,0,0,0,0,9,0,0,0,0,9,0,0,0,0,7,2,0,6,3,0,0,8,81,8104,8104021001508,-72.65491999999998,-36.82202,CONCEPCIÓN,FLORIDA,81794
5765,5765,5766,8,81,8104,1,1,1,11,2250,8104011001011,23,14,9,0,0,16,4,0,0,14,0,12,14,12,14,0,0,0,0,0,0,0,2,10,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0,12,0,0,0,8,81,8104,8104011001011,-72.66419,-36.82325,CONCEPCIÓN,FLORIDA,14604
5766,5766,5767,8,81,8104,1,1,1,12,2250,8104011001012,43,22,21,4,4,28,7,0,0,13,0,11,13,11,13,0,0,0,0,0,0,2,0,6,3,0,0,1,0,10,0,0,0,0,11,0,0,0,0,8,3,0,11,0,0,0,8,81,8104,8104011001012,-72.66275999999998,-36.82329,CONCEPCIÓN,FLORIDA,14684
5767,5767,5768,8,81,8104,1,1,1,13,2250,8104011001013,21,10,11,0,0,16,0,0,0,8,0,7,8,7,7,0,0,0,1,0,0,0,1,6,0,0,0,1,0,6,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,8,81,8104,8104011001013,-72.66138000000002,-36.82342,CONCEPCIÓN,FLORIDA,11563
5768,5768,5769,8,81,8104,2,1,1,43,115,8104021001043,12,5,7,0,0,4,6,0,0,5,0,5,5,5,5,0,0,0,0,0,0,2,0,3,0,0,0,1,0,4,0,0,0,0,5,0,0,0,0,5,0,0,3,2,0,0,8,81,8104,8104021001043,-72.65255,-36.82317000000001,CONCEPCIÓN,FLORIDA,9733
5769,5769,5770,8,81,8104,2,1,1,42,115,8104021001042,124,61,63,4,10,86,24,0,0,48,0,42,48,43,46,0,0,0,2,0,0,2,8,20,12,0,0,2,0,40,0,0,0,0,41,1,0,0,0,29,13,0,35,7,0,0,8,81,8104,8104021001042,-72.65484000000002,-36.8236,CONCEPCIÓN,FLORIDA,44714
5770,5770,5771,8,81,8104,1,1,1,14,2250,8104011001014,17,6,11,0,0,12,0,0,0,6,0,5,6,5,6,0,0,0,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,8,81,8104,8104011001014,-72.65987,-36.82355,CONCEPCIÓN,FLORIDA,9006
5771,5771,5772,8,81,8104,1,1,1,15,2250,8104011001015,19,5,14,0,0,12,4,0,0,8,0,7,8,7,8,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,8,81,8104,8104011001015,-72.65836,-36.82355,CONCEPCIÓN,FLORIDA,9654
5772,5772,5773,8,81,8104,2,1,1,48,115,8104021001048,95,47,48,5,12,61,17,0,4,44,0,38,44,38,40,0,0,0,4,0,0,0,6,30,1,1,0,2,0,36,0,0,0,0,35,2,1,0,0,33,5,0,38,0,0,0,8,81,8104,8104021001048,-72.65612,-36.82449,CONCEPCIÓN,FLORIDA,34562
5773,5773,5774,8,81,8104,1,1,1,17,2250,8104011001017,45,25,20,0,0,27,13,0,0,10,2,10,12,10,10,0,0,0,0,0,0,2,2,6,0,0,0,1,0,9,0,0,0,0,9,1,0,0,0,9,1,0,10,0,0,0,8,81,8104,8104011001017,-72.65995,-36.82445,CONCEPCIÓN,FLORIDA,14045
5774,5774,5775,8,81,8104,1,1,1,16,2250,8104011001016,53,25,28,5,0,44,0,0,9,19,0,16,19,16,19,0,0,0,0,0,0,2,1,10,3,0,0,1,0,15,0,0,0,0,15,1,0,0,0,12,4,0,16,0,0,0,8,81,8104,8104011001016,-72.6585,-36.82447,CONCEPCIÓN,FLORIDA,13985
5775,5775,5776,8,81,8104,2,1,1,47,115,8104021001047,67,34,33,4,9,42,12,0,5,22,0,22,22,22,22,0,0,0,0,0,0,1,3,13,5,0,0,1,0,21,0,0,0,0,21,0,0,1,0,17,5,0,22,0,0,0,8,81,8104,8104021001047,-72.65332,-36.82464,CONCEPCIÓN,FLORIDA,14127
5776,5776,5777,8,81,8104,2,1,1,502,115,8104021001502,72,38,34,5,7,48,12,0,12,29,0,24,29,26,29,0,0,0,0,0,0,0,2,9,7,1,5,0,0,24,0,0,0,0,22,1,1,0,0,10,9,5,24,0,0,0,8,81,8104,8104021001502,-72.65145,-36.81456,CONCEPCIÓN,FLORIDA,37203
5777,5777,5778,8,81,8104,2,1,1,12,115,8104021001012,85,37,48,7,16,49,13,0,10,27,0,26,27,26,27,0,0,0,0,0,0,0,3,21,2,0,0,8,0,18,0,0,0,0,16,6,3,0,0,14,11,0,26,0,0,0,8,81,8104,8104021001012,-72.64998,-36.81209000000001,CONCEPCIÓN,FLORIDA,5945
