,Unnamed: 0,Unnamed: 0.1,index,REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,MZ_ENT,ID_ZONA_LOC,ID_MANZENT,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,PUEBLO,VIV_PART,VIV_COL,VPOMP,TOTAL_VIV,CANT_HOG,P01_1,P01_2,P01_3,P01_4,P01_5,P01_6,P01_7,P03A_1,P03A_2,P03A_3,P03A_4,P03A_5,P03A_6,P03B_1,P03B_2,P03B_3,P03B_4,P03B_5,P03B_6,P03B_7,P03C_1,P03C_2,P03C_3,P03C_4,P03C_5,MATACEP,MATREC,MATIRREC,P05_1,P05_2,P05_3,P05_4,REGION_15R,PROVINCIA_15R,COMUNA_15R,ID_MANZENT_15R,Coordenada X,Coordenada Y,Provincia Nombre,Comuna Nombre,Area,Factor_Riesgo_Manzana
25,25,25,26,8,82,8204,1,1,1,30,6559,8204011001030,15,6,9,0,0,12,0,0,5,5,0,5,5,5,4,0,0,0,1,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,8,82,8204,8204011001030,-73.22929,-38.01893,ARAUCO,CONTULMO,1014,0.10295857988165681
26,26,26,27,8,82,8204,1,1,1,33,6559,8204011001033,281,122,159,30,50,189,12,0,67,88,0,85,88,86,87,0,0,0,1,0,0,0,0,79,6,0,0,0,0,85,0,0,0,0,63,2,19,1,0,57,28,0,83,0,0,1,8,82,8204,8204011001033,-73.22945,-38.02698,ARAUCO,CONTULMO,89015,8.500631354266135
27,27,27,28,8,82,8204,1,1,1,35,6559,8204011001035,102,53,49,11,15,70,6,0,32,45,0,38,45,38,45,0,0,0,0,0,0,0,0,36,1,0,0,1,0,37,0,0,0,0,37,1,0,0,0,35,2,0,37,0,0,0,8,82,8204,8204011001035,-73.23267,-38.02479,ARAUCO,CONTULMO,15140,3.4013474240422723
28,28,28,29,8,82,8204,1,1,1,36,6559,8204011001036,69,31,38,7,7,43,12,0,20,31,0,27,31,28,30,0,0,0,1,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,22,0,5,0,0,22,5,0,27,0,0,0,8,82,8204,8204011001036,-73.23389,-38.02557,ARAUCO,CONTULMO,13154,3.9010491105367193
29,29,29,30,8,82,8204,1,1,1,34,6559,8204011001034,177,82,95,20,26,116,15,0,33,66,0,60,66,61,60,0,1,0,5,0,0,0,0,40,19,0,0,0,0,59,0,0,0,0,49,2,7,1,0,30,29,0,50,0,0,9,8,82,8204,8204011001034,-73.23201,-38.02617,ARAUCO,CONTULMO,16788,7.502108649035025
30,30,30,31,8,82,8204,1,1,1,45,6559,8204011001045,161,80,81,11,26,109,15,0,51,59,0,48,59,49,58,0,0,0,1,0,0,0,0,42,6,0,0,0,0,48,0,0,0,0,43,0,5,0,0,37,11,0,43,0,0,5,8,82,8204,8204011001045,-73.23295999999998,-38.02848,ARAUCO,CONTULMO,160703,5.300200369625957
31,31,31,32,8,82,8204,1,1,1,37,6559,8204011001037,44,25,19,0,9,27,0,0,14,11,0,11,11,11,11,0,0,0,0,0,0,0,0,4,7,0,0,0,0,11,0,0,0,0,11,0,0,0,0,4,7,0,11,0,0,0,8,82,8204,8204011001037,-73.23314,-38.02604,ARAUCO,CONTULMO,2761,0.0031872509960159364
32,32,32,33,8,82,8204,1,1,1,38,6559,8204011001038,33,13,20,4,6,17,6,0,13,10,0,8,10,8,9,0,0,0,1,0,0,0,0,6,2,0,0,0,0,8,0,0,0,0,8,0,0,0,0,6,2,0,8,0,0,0,8,82,8204,8204011001038,-73.23369,-38.02625,ARAUCO,CONTULMO,2426,2.1027205276174774
33,33,33,34,8,82,8204,1,1,1,39,6559,8204011001039,48,27,21,8,5,30,5,0,18,10,0,10,10,13,10,0,0,0,0,0,0,1,0,8,1,0,0,0,0,10,0,0,0,0,10,0,0,0,0,9,1,0,10,0,0,0,8,82,8204,8204011001039,-73.2342,-38.02645,ARAUCO,CONTULMO,2597,2.6036965729688104
34,34,34,35,8,82,8204,1,1,1,42,6559,8204011001042,38,21,17,0,0,27,5,0,18,12,0,11,12,11,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0,10,0,0,1,8,82,8204,8204011001042,-73.23289,-38.02653,ARAUCO,CONTULMO,2733,1.0027808269301135
35,35,35,36,8,82,8204,1,1,1,41,6559,8204011001041,29,14,15,0,0,21,4,0,12,9,0,8,9,8,9,0,0,0,0,0,0,0,0,3,5,0,0,0,0,8,0,0,0,0,8,0,0,0,0,3,5,0,8,0,0,0,8,82,8204,8204011001041,-73.23345,-38.026740000000004,ARAUCO,CONTULMO,2322,0.8024978466838932
36,36,36,37,8,82,8204,1,1,1,40,6559,8204011001040,31,16,15,4,5,16,6,0,18,12,0,10,12,10,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0,10,0,0,0,8,82,8204,8204011001040,-73.23394,-38.02693,ARAUCO,CONTULMO,2349,2.002639421030226
37,37,37,38,8,82,8204,1,1,1,43,6559,8204011001043,59,26,33,0,12,40,0,0,17,21,0,17,21,17,20,0,0,0,1,0,0,0,0,16,1,0,0,0,0,17,0,0,0,0,16,0,1,0,0,15,2,0,17,0,0,0,8,82,8204,8204011001043,-73.23252,-38.0273,ARAUCO,CONTULMO,15093,0.10078181938647056
38,38,38,39,8,82,8204,1,1,1,32,6559,8204011001032,142,71,71,11,26,100,5,0,18,50,1,44,51,44,50,0,0,0,0,0,0,0,0,32,12,0,0,3,0,40,1,0,0,0,40,0,4,0,0,27,17,0,43,0,0,1,8,82,8204,8204011001032,-73.23178,-38.022240000000004,ARAUCO,CONTULMO,71869,3.200395163422338
39,39,39,40,8,82,8204,1,1,1,31,6559,8204011001031,263,121,142,23,36,181,23,0,38,88,0,82,88,84,85,0,0,0,3,0,0,0,0,66,15,0,1,1,0,81,0,0,0,0,81,0,1,0,0,65,16,1,45,0,1,36,8,82,8204,8204011001031,-73.22792,-38.01871,ARAUCO,CONTULMO,99276,9.600529836012733
40,40,40,41,8,82,8204,1,1,1,47,6559,8204011001047,22,14,8,0,4,12,0,0,7,15,0,9,15,9,15,0,0,0,0,0,0,0,0,8,1,0,0,0,0,9,0,0,0,0,8,0,1,0,0,7,2,0,9,0,0,0,8,82,8204,8204011001047,-73.23481,-38.01417,ARAUCO,CONTULMO,115185,3.819941832703912e-05
41,41,41,42,8,82,8204,1,1,1,8,6559,8204011001008,50,25,25,9,5,28,8,0,6,20,0,15,20,16,20,0,0,0,0,0,0,0,0,12,3,0,0,0,0,15,0,0,0,0,15,0,0,0,0,12,3,0,15,0,0,0,8,82,8204,8204011001008,-73.2332,-38.01392,ARAUCO,CONTULMO,8209,3.4012181751735904
42,42,42,43,8,82,8204,1,1,1,901,6559,8204011001901,17,8,9,0,0,12,0,0,4,12,0,8,12,8,12,0,0,0,0,0,0,0,0,6,2,0,0,0,0,8,0,0,0,0,8,0,0,0,0,6,2,0,8,0,0,0,8,82,8204,8204011001901,-73.22832,-38.016,ARAUCO,CONTULMO,27692,0.00012277914199046656
43,43,43,44,8,82,8207,3,1,1,8,2897,8207031001008,41,19,22,0,10,27,0,0,24,16,0,13,16,13,16,0,0,0,0,0,0,0,0,13,0,0,0,1,0,12,0,0,0,0,8,5,0,0,0,8,5,0,13,0,0,0,8,82,8207,8207031001008,-73.49069,-38.3379,ARAUCO,TIRÚA,4479,0.001830765795936593
44,44,44,45,8,82,8207,3,1,1,9,2897,8207031001009,36,19,17,0,8,23,0,0,24,14,0,11,14,11,14,0,0,0,0,0,0,0,2,8,1,0,0,0,0,11,0,0,0,0,11,0,0,0,0,10,1,0,11,0,0,0,8,82,8207,8207031001009,-73.49006,-38.33785,ARAUCO,TIRÚA,3672,0.00196078431372549
45,45,45,46,8,82,8207,3,1,1,3,2897,8207031001003,35,16,19,4,7,24,0,0,34,11,0,10,11,10,11,0,0,0,0,0,0,1,0,9,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,9,0,0,10,0,0,0,8,82,8207,8207031001003,-73.49264000000002,-38.33824,ARAUCO,TIRÚA,8620,0.8008120649651973
46,46,46,47,8,82,8207,3,1,1,7,2897,8207031001007,44,22,22,0,10,29,0,0,41,15,0,14,15,14,15,0,0,0,0,0,0,0,1,10,3,0,0,0,0,13,1,0,0,0,10,1,3,0,0,7,7,0,14,0,0,0,8,82,8207,8207031001007,-73.49119,-38.33824,ARAUCO,TIRÚA,4708,0.0018691588785046728
47,47,47,48,8,82,8207,3,1,1,11,2897,8207031001011,49,20,29,11,5,29,4,0,46,18,0,15,18,17,18,0,0,0,0,0,0,0,0,14,1,0,0,0,0,15,0,0,0,0,15,0,0,0,0,14,1,0,15,0,0,0,8,82,8207,8207031001011,-73.48914,-38.33849,ARAUCO,TIRÚA,5970,3.001641541038526
48,48,48,49,8,82,8207,3,1,1,6,2897,8207031001006,32,19,13,0,5,22,0,0,13,10,0,9,10,9,10,0,0,0,0,0,0,0,1,6,2,0,0,0,0,9,0,0,0,0,8,0,0,1,0,6,3,0,9,0,0,0,8,82,8207,8207031001006,-73.49179000000002,-38.33855,ARAUCO,TIRÚA,4095,0.0015628815628815629
49,49,49,50,8,82,8207,3,1,1,10,2897,8207031001010,18,6,12,0,0,13,0,0,14,10,0,7,10,7,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,7,0,0,0,8,82,8207,8207031001010,-73.48836999999997,-38.33847,ARAUCO,TIRÚA,2849,0.0012636012636012637
50,50,50,51,8,82,8207,3,1,1,12,2897,8207031001012,55,22,33,0,9,37,0,0,41,18,0,16,18,16,18,0,0,0,0,0,0,0,0,15,1,0,0,0,0,16,0,0,0,0,16,0,0,0,0,15,1,0,16,0,0,0,8,82,8207,8207031001012,-73.48975,-38.33872,ARAUCO,TIRÚA,5813,0.0018923103388955788
51,51,51,52,8,82,8207,3,1,1,13,2897,8207031001013,51,20,31,0,8,39,0,0,48,22,0,20,22,20,22,0,0,0,0,0,0,0,0,16,4,0,0,1,0,19,0,0,0,0,18,0,2,0,0,14,6,0,20,0,0,0,8,82,8207,8207031001013,-73.49036,-38.33895,ARAUCO,TIRÚA,5813,0.0017546877687940822
